TIPO_VENTA,DOCUMENTO,CORRELATIVO,CODIGO,RAZON_SOCIAL,TIPO_CLIENTE,SKU,ARTICULO,G_PROVEEDOR,ACCTCODEN2,N1,N11,N2,N21,N3,N31,N4,N41,COMERCIAL,ALM,CANT,U#M#,T/C,COSTO,C_TOTAL,P_UNIT,P_TRAS_DESC,V_TOTAL,UTILIDAD
Venta Stock,01 - FACTURA,F001-0025831,C000431,SOLUCIONES INTEGRALES PARA SUPERFICIES NEOPINDEC C.A.,Nacional,A000145,BYK 300 - 25 KG,BYK ADDITIVES,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,40,25,KG,1,"13,21","330,25","17,6","17,6",440,"109,75"
Venta Stock,01 - FACTURA,F001-0025831,C000431,SOLUCIONES INTEGRALES PARA SUPERFICIES NEOPINDEC C.A.,Nacional,A000170,BYK P104-S - 25 KG,BYK ADDITIVES,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,10,25,KG,1,"12,963","324,075","18,7","18,7","467,5","143,425"
Venta Stock,01 - FACTURA,F001-0025831,C000431,SOLUCIONES INTEGRALES PARA SUPERFICIES NEOPINDEC C.A.,Nacional,A000587,BYKETOL OK - 25 KG,BYK ADDITIVES,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,10,25,KG,1,"6,539","163,475",14,14,350,"186,525"
Venta Stock,01 - FACTURA,F001-0025831,C000431,SOLUCIONES INTEGRALES PARA SUPERFICIES NEOPINDEC C.A.,Nacional,A001390,DISPERBYK 111 - 18 KG,BYK ADDITIVES,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,10,18,KG,1,"26,452","476,136","32,5","32,5",585,"108,864"
Venta Stock,01 - FACTURA,F001-0025831,C000431,SOLUCIONES INTEGRALES PARA SUPERFICIES NEOPINDEC C.A.,Nacional,A000194,DISPERBYK 2155 - 25 KG,BYK ADDITIVES,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,40,25,KG,1,"24,617","615,425","32,95","32,95","823,75","208,325"
Venta Stock,01 - FACTURA,F001-0025829,C000132,SAILORPAINT S.A.,Nacional,A000367,DCC YELLOW 1002 - 25 KG,DCL,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,40,250,KG,1,"4,94",1235,"4,99","4,99","1247,5","12,5"
Venta Stock,01 - FACTURA,F001-0025825,C000272,ZATOTEK S.A.,Nacional,A000182,DISPERBYK 108 - 190 KG,BYK ADDITIVES,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,10,190,KG,1,"6,038","1147,22","7,7","7,7",1463,"315,78"
Venta Stock,01 - FACTURA,F001-0025803,C000034,ECUABARNICES S.A.,Nacional,A001397,BYK 390 - 170 KG,BYK ADDITIVES,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,907,510,KG,1,"14,184","7233,84","16,99","16,99","8664,9","1431,06"
Venta Stock,01 - FACTURA,F001-0025803,C000034,ECUABARNICES S.A.,Nacional,A000169,BYK P104 - 185 KG,BYK ADDITIVES,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,907,20,KG,1,"8,37","167,4","11,9","11,9",238,"70,6"
Venta Stock,01 - FACTURA,F001-0025803,C000034,ECUABARNICES S.A.,Nacional,A001157,CERA ACUMIST 1812 - 20 KG,HONEYWELL SA,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,907,340,KG,1,"9,67","3287,8","13,75","13,75",4675,"1387,2"
Venta Stock,01 - FACTURA,F001-0025799,C000369,CHEMMASTER C. LTDA.,Nacional,A001504,SINCOL PR 170 3128-001 - 25 KG,SINCOL,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,11,"24,6",KG,1,"10,869","267,3774","14,5","14,5","356,7","89,3226"
